Altium Designer Pick and Place Locations
C:\Users\marti\Desktop\Fing\PFC\Altium\GitHub\PFC_Wi_Charge\Project Outputs for Wi_charge_sis_completo\Pick Place for sistema_completo.txt

========================================================================================================================
File Design Information:

Date:       23/03/21
Time:       17:47
Revision:   eef75b1df91089695b31a5b6f2986d623275eb9a
Variant:    No variations
Units used: mil

Designator Layer       Center-X(mil) Center-Y(mil) Rotation Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Package                                
R53        BottomLayer 2965.000      6087.000      360      2965.000   6087.000   2925.630   6087.000   "2012 Vishay"                          
C49        TopLayer    3047.000      7104.000      90       3047.000   7104.000   3047.000   7068.764   "2012 Murata"                          
C48        TopLayer    2648.000      6979.236      90       2648.000   6979.236   2648.000   6944.000   "2012 Murata"                          
C47        TopLayer    3620.000      6589.764      90       3620.000   6589.764   3620.000   6554.528   "2012 Murata"                          
C46        TopLayer    3711.236      6707.000      180      3711.236   6707.000   3746.472   6707.000   "2012 Murata"                          
C45        TopLayer    3675.000      7012.000      90       3675.000   7012.000   3675.000   6976.764   "2012 Murata"                          
R51        TopLayer    3102.000      8835.008      90       3102.000   8835.008   3102.000   8775.953   ""                                     
R27        TopLayer    2653.000      5231.000      90       2653.000   5231.000   2653.000   5191.630   "2012 Vishay"                          
R26        TopLayer    2568.000      5230.000      90       2568.000   5230.000   2568.000   5190.630   "2012 Vishay"                          
C26        TopLayer    3315.882      7776.000      90       3315.882   7776.000   3315.882   7740.764   "2012 Murata"                          
R47        TopLayer    3392.000      7776.000      90       3392.000   7776.000   3392.000   7738.992   "2012 Panasonic Electronic Components" 
R52        TopLayer    3434.000      9462.000      180      3434.000   9462.000   3508.567   9462.000   ""                                     
P9         TopLayer    4187.181      9470.819      0        4187.181   9470.819   4187.181   9470.819   ""                                     
R43        TopLayer    2623.000      7135.000      180      2623.000   7135.000   2662.370   7135.000   "2012 Vishay"                          
JP3        TopLayer    2745.000      5021.000      180      2745.000   5021.000   2745.000   5071.000   JP1                                    
R31        TopLayer    2448.000      5388.000      360      2448.000   5388.000   2408.630   5388.000   "2012 Vishay"                          
C14        TopLayer    1746.236      5477.000      180      1746.236   5477.000   1781.472   5477.000   "2012 Murata"                          
C22        TopLayer    1874.000      6449.000      180      1874.000   6449.000   1909.236   6449.000   "2012 Murata"                          
VR1        TopLayer    2102.507      6633.099      270      2052.507   6633.099   2052.507   6733.099   TRIM_3266W-1-102LF                     
D6         TopLayer    3140.050      7104.000      270      3140.050   7104.000   3140.050   7141.400   ""                                     
R35        TopLayer    2301.823      5952.059      180      2301.823   5952.059   2341.193   5952.059   "2012 Vishay"                          
D12        BottomLayer 3483.000      7014.000      90       3483.000   7014.000   3483.000   6976.600   ""                                     
D11        BottomLayer 3483.000      6827.600      270      3483.000   6827.600   3483.000   6865.000   ""                                     
R32        TopLayer    3729.000      5833.000      270      3729.000   5833.000   3729.000   5872.370   "2012 Vishay"                          
D10        BottomLayer 3483.000      6639.600      90       3483.000   6639.600   3483.000   6602.200   ""                                     
D5         TopLayer    2750.000      6980.000      90       2750.000   6980.000   2750.000   6942.600   ""                                     
R16        TopLayer    3879.897      4758.912      180      3879.897   4758.912   3919.267   4758.912   "2012 Vishay"                          
R30        TopLayer    1783.370      5328.000      180      1783.370   5328.000   1822.740   5328.000   "2012 Vishay"                          
R17        TopLayer    1563.000      4808.000      90       1563.000   4808.000   1563.000   4768.630   "2012 Vishay"                          
D3         TopLayer    1674.000      4874.000      90       1674.000   4874.000   1674.000   4856.283   ""                                     
R2         TopLayer    3030.630      4212.000      180      3030.630   4212.000   3070.000   4212.000   "2012 Vishay"                          
R1         TopLayer    3030.630      4142.000      0        3030.630   4142.000   2991.260   4142.000   "2012 Vishay"                          
P6         TopLayer    834.000       6223.000      90       834.000    6223.000   834.000    6073.000   ""                                     
R36        TopLayer    2968.000      6154.683      270      2968.000   6154.683   2968.000   6194.053   "2012 Vishay"                          
C4         TopLayer    1800.000      4620.000      90       1800.000   4620.000   1800.000   4584.567   "2012 Murata"                          
j1         TopLayer    0.000         0.000         90       3298.000   5667.000   0.000      0.000      ""                                     
j5         TopLayer    0.000         0.000         90       1964.000   5970.000   0.000      0.000      ""                                     
j3         TopLayer    0.000         0.000         90       3292.000   5785.000   0.000      0.000      ""                                     
j4         TopLayer    0.000         0.000         90       3423.000   5836.000   0.000      0.000      ""                                     
j6         TopLayer    0.000         0.000         180      2663.000   6093.000   0.000      0.000      ""                                     
j2         TopLayer    0.000         0.000         0        4117.000   5755.000   0.000      0.000      ""                                     
L1         TopLayer    3160.000      5239.055      90       3160.000   5239.055   3160.000   5048.110   ""                                     
L2         TopLayer    920.433       5680.000      90       920.433    5680.000   920.433    5489.055   ""                                     
sink1      TopLayer    1785.748      7486.299      0        1785.748   7486.299   2531.024   8231.575   ""                                     
Q3         TopLayer    1785.738      7486.309      90       1785.738   7486.309   1714.872   7486.309   ""                                     
P3         TopLayer    2956.000      4538.648      90       2981.000   4528.000   2857.570   4400.656   ""                                     
P2         TopLayer    2525.000      4538.648      90       2550.000   4528.000   2426.570   4400.656   ""                                     
P5         TopLayer    934.352       5045.000      180      945.000    5070.000   1072.344   4946.570   ""                                     
P4         TopLayer    934.352       4535.000      180      945.000    4560.000   1072.344   4436.570   ""                                     
R6         TopLayer    3486.000      4383.000      90       3486.000   4383.000   3486.000   4343.630   "2012 Vishay"                          
R5         TopLayer    3394.000      4383.000      270      3394.000   4383.000   3394.000   4422.370   "2012 Vishay"                          
D2         TopLayer    1260.000      4370.000      270      1260.000   4370.000   1260.000   4403.465   "0603 Vishay"                          
U5         TopLayer    1820.866      7263.779      90       1820.866   7263.779   1805.118   7255.905   "DSBGA-6 Texas Instruments"            
U4         TopLayer    1696.000      6664.386      360      1696.000   6664.386   1609.000   6702.772   "MSOP-8 Linear Technology/Analog"      
D1         TopLayer    1730.000      4370.000      180      1730.000   4370.000   1633.540   4370.000   SMBJ64A                                
U7         BottomLayer 2047.000      7326.000      360      2047.000   7326.000   1941.882   7251.000   "SOIC-8 Microchip"                     
FB1        TopLayer    2382.500      9187.500      360      2380.000   9240.000   2876.000   9753.000   CURRENT_SENSE_TRANSFORMER              
SW1        TopLayer    3538.549      2160.000      0        3538.549   2160.000   3755.084   1943.465   ""                                     
R49        TopLayer    4206.000      8280.000      270      4206.000   8280.000   4206.000   8318.189   "2012 Vishay"                          
R48        TopLayer    3967.431      8280.000      270      3967.431   8280.000   3967.431   8318.189   "2012 Vishay"                          
R46        TopLayer    2873.000      7409.000      360      2873.000   7409.000   2834.811   7409.000   "2012 Vishay"                          
R23        TopLayer    3669.000      5076.430      360      3669.000   5076.430   3629.630   5076.430   "2012 Vishay"                          
R3         TopLayer    1375.000      4355.000      270      1375.000   4355.000   1375.000   4413.465   "3116 Vishay"                          
R50        TopLayer    3330.000      8528.000      360      3330.000   8528.000   3293.583   8528.000   "2012 Panasonic Electronic Components" 
R41        TopLayer    2282.507      6830.000      180      2282.507   6830.000   2321.877   6830.000   "2012 Vishay"                          
R40        TopLayer    2282.507      6735.000      180      2282.507   6735.000   2321.877   6735.000   "2012 Vishay"                          
R38        TopLayer    2230.000      6425.000      180      2230.000   6425.000   2269.370   6425.000   "2012 Vishay"                          
R24        TopLayer    2239.000      5106.000      270      2239.000   5106.000   2239.000   5145.370   "2012 Vishay"                          
R42        TopLayer    1902.000      7037.000      180      1902.000   7037.000   1941.370   7037.000   "2012 Vishay"                          
R39        TopLayer    1562.000      6545.000      180      1562.000   6545.000   1600.189   6545.000   "2012 Vishay"                          
R37        TopLayer    1634.630      6214.000      180      1634.630   6214.000   1674.000   6214.000   "2012 Vishay"                          
R34        TopLayer    2129.811      5896.000      180      2129.811   5896.000   2168.000   5896.000   "2012 Vishay"                          
R33        TopLayer    3848.000      5833.000      270      3848.000   5833.000   3848.000   5872.370   "2012 Vishay"                          
R25        TopLayer    1815.000      5152.431      180      1815.000   5152.431   1854.370   5152.431   "2012 Vishay"                          
R22        TopLayer    1835.000      5055.000      180      1835.000   5055.000   1874.370   5055.000   "2012 Vishay"                          
R29        TopLayer    2448.000      5318.000      360      2448.000   5318.000   2408.630   5318.000   "2012 Vishay"                          
R14        TopLayer    3879.000      4658.000      180      3879.000   4658.000   3918.370   4658.000   "2012 Vishay"                          
R10        TopLayer    3879.630      4455.569      180      3879.630   4455.569   3919.000   4455.569   "2012 Vishay"                          
R11        TopLayer    3879.000      4563.000      180      3879.000   4563.000   3918.370   4563.000   "2012 Vishay"                          
R21        TopLayer    1834.000      4930.000      180      1834.000   4930.000   1873.370   4930.000   "2012 Vishay"                          
R28        TopLayer    1810.000      5240.000      180      1810.000   5240.000   1849.370   5240.000   "2012 Vishay"                          
R7         TopLayer    3582.000      4383.000      90       3582.000   4383.000   3582.000   4343.630   "2012 Vishay"                          
R9         TopLayer    3879.630      4368.000      180      3879.630   4368.000   3919.000   4368.000   "2012 Vishay"                          
R8         TopLayer    3306.431      4384.833      90       3306.431   4384.833   3306.431   4345.463   "2012 Vishay"                          
R4         TopLayer    3204.000      4383.000      270      3204.000   4383.000   3204.000   4422.370   "2012 Vishay"                          
R15        TopLayer    1459.370      4680.000      180      1459.370   4680.000   1498.740   4680.000   "2012 Vishay"                          
R12        TopLayer    1460.000      4575.000      360      1460.000   4575.000   1420.630   4575.000   "2012 Vishay"                          
R18        TopLayer    1430.000      4836.641      0        1430.000   4836.641   1390.630   4836.641   "2012 Vishay"                          
R19        TopLayer    1824.105      4842.431      360      1824.105   4842.431   1785.916   4842.431   "2012 Vishay"                          
R20        TopLayer    1429.370      4924.211      180      1429.370   4924.211   1468.740   4924.211   "2012 Vishay"                          
R13        TopLayer    1692.000      4630.000      90       1692.000   4630.000   1692.000   4571.535   "3116 Vishay"                          
